project_id,project_name,gc_name,risk_level,main_issue,realized_margin_pct,cost_vs_budget,billing_gap_pct,approved_co_pct,rejected_co_pct,total_rfis,labor_burn_ratio,labor_avg_pct_overrun,material_avg_pct_overrun,management_cause,evidence,recommended_action,severity
PRJ-2019-145,Oklahoma City Mixed-Income Housing - Climate Control,Skanska USA,HIGH,Underbilling / Financial Loss,-0.03,0.825,0.034,0.029,0.037,52,0.684,0.0,0.068,Unrecovered change orders,Rejected COs are 3.7% of original contract,Require tighter approval before extra work proceeds,Critical
PRJ-2020-172,Boston Business Center - MEP Systems,DPR Construction,MEDIUM,Underbilling / Financial Loss,-0.023,0.783,0.109,0.115,0.035,54,0.776,0.0,0.0,Unrecovered change orders,Rejected COs are 3.5% of original contract,Require tighter approval before extra work proceeds,Critical
PRJ-2021-303,Nashville Unified School District - HVAC Modernization,Mortenson,HIGH,Underbilling / Financial Loss,-0.013,0.821,0.056,0.052,0.075,65,0.759,0.0,0.081,Unrecovered change orders,Rejected COs are 7.5% of original contract,Require tighter approval before extra work proceeds,Critical
PRJ-2021-246,San Antonio Hospital - Mechanical Systems Renovation,DPR Construction,MEDIUM,Underbilling / Financial Loss,0.028,0.787,0.153,0.172,0.047,63,0.737,0.0,0.0,Billing / collections,Billing gap is 15.3% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",Critical
PRJ-2020-163,Nashville High School - New Construction,Mortenson,MEDIUM,"Underbilling / Financial Loss, Execution Inefficiency",0.031,0.835,0.213,0.263,0.06,71,0.89,0.0,0.0,Billing / collections,Billing gap is 21.3% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",Critical
PRJ-2020-180,Kansas City Senior Living - HVAC Upgrade,Mortenson,MEDIUM,Underbilling / Financial Loss,0.042,0.844,0.169,0.196,0.034,68,0.787,0.0,0.069,Billing / collections,Billing gap is 16.9% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",Critical
PRJ-2023-399,Louisville Edge Data Center - Thermal Management,JE Dunn,MEDIUM,Underbilling / Financial Loss,0.055,0.885,0.186,0.221,0.061,87,0.89,0.154,0.07,Billing / collections,Billing gap is 18.6% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",Critical
PRJ-2021-292,Chicago Corporate Campus - HVAC Systems,Turner Construction,MEDIUM,Execution Inefficiency,0.073,0.685,0.17,0.198,0.054,69,0.544,0.0,0.0,Billing / collections,Billing gap is 17.0% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",Critical
PRJ-2018-075,Indianapolis Senior Living - HVAC Upgrade,Skanska USA,LOW,Execution Inefficiency,0.118,0.8,0.167,0.194,0.089,53,0.681,0.0,0.095,Billing / collections,Billing gap is 16.7% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",Critical
PRJ-2019-140,Boston Senior Living - HVAC Upgrade,DPR Construction,MEDIUM,Execution Inefficiency,0.119,0.683,0.161,0.183,0.034,69,0.522,0.0,0.0,Billing / collections,Billing gap is 16.1% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",Critical
PRJ-2022-375,Pittsburgh Mixed-Income Housing - Climate Control,Mortenson,MEDIUM,Execution Inefficiency,0.122,0.765,0.158,0.181,0.04,74,0.654,0.0,0.081,Billing / collections,Billing gap is 15.8% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",Critical
PRJ-2018-043,Salt Lake City High School - New Construction,Skanska USA,MEDIUM,Underbilling / Financial Loss,0.123,0.75,0.197,0.237,0.051,95,0.673,0.0,0.0,Billing / collections,Billing gap is 19.7% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",Critical
PRJ-2021-308,Phoenix Middle School - HVAC Systems,DPR Construction,MEDIUM,Execution Inefficiency,0.142,0.727,0.19,0.227,0.047,75,0.623,0.0,0.02,Billing / collections,Billing gap is 19.0% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",Critical
PRJ-2019-108,Richmond Elementary Campus - Climate Systems,JE Dunn,MEDIUM,Execution Inefficiency,0.162,0.739,0.18,0.212,0.034,94,0.622,0.0,0.044,Billing / collections,Billing gap is 18.0% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",Critical
PRJ-2018-027,Albuquerque Mixed-Use Tower - Mechanical,Turner Construction,MEDIUM,Underbilling / Financial Loss,0.165,0.74,0.129,0.141,0.077,81,0.531,0.0,0.111,Unrecovered change orders,Rejected COs are 7.7% of original contract,Require tighter approval before extra work proceeds,Critical
PRJ-2020-231,Houston Medical Campus - New HVAC Installation,JE Dunn,MEDIUM,Underbilling / Financial Loss,0.172,0.685,0.16,0.182,0.118,89,0.492,0.0,0.064,Billing / collections,Billing gap is 16.0% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",Critical
PRJ-2022-339,Pittsburgh Colocation Facility - HVAC,Skanska USA,LOW,"Execution Inefficiency, Coordination Issues",0.183,0.634,0.163,0.188,0.085,89,0.432,0.0,0.012,Billing / collections,Billing gap is 16.3% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",Critical
PRJ-2019-144,Richmond Data Center - Precision Cooling Systems,DPR Construction,LOW,Underbilling / Financial Loss,0.189,0.723,0.148,0.165,0.034,97,0.558,0.0,0.11,Unrecovered change orders,Rejected COs are 3.4% of original contract,Require tighter approval before extra work proceeds,Critical
PRJ-2018-037,Albuquerque Business Center - MEP Systems,JE Dunn,LOW,Execution Inefficiency,0.205,0.546,0.153,0.173,0.066,79,0.233,0.0,0.0,Billing / collections,Billing gap is 15.3% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",Critical
PRJ-2022-334,Raleigh Edge Data Center - Thermal Management,Mortenson,LOW,"Execution Inefficiency, Change Order Failure",0.22,0.639,0.14,0.155,0.116,75,0.393,0.0,0.102,Unrecovered change orders,Rejected COs are 11.6% of original contract,Require tighter approval before extra work proceeds,Critical
PRJ-2018-015,Minneapolis Mixed-Income Housing - Climate Control,Skanska USA,LOW,Low Risk / No Clear Driver,0.222,0.533,0.161,0.184,0.07,58,0.238,0.0,0.0,Billing / collections,Billing gap is 16.1% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",Critical
PRJ-2021-263,Phoenix Elementary Campus - Climate Systems,DPR Construction,LOW,Underbilling / Financial Loss,0.224,0.62,0.119,0.126,0.032,55,0.287,0.0,0.109,Unrecovered change orders,Rejected COs are 3.2% of original contract,Require tighter approval before extra work proceeds,Critical
PRJ-2020-195,San Antonio Senior Living - HVAC Upgrade,DPR Construction,LOW,Execution Inefficiency,0.228,0.592,0.167,0.192,0.031,72,0.326,0.0,0.034,Billing / collections,Billing gap is 16.7% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",Critical
PRJ-2019-147,Oklahoma City Office Park - Core & Shell MEP,Skanska USA,LOW,Change Order Failure,0.236,0.527,0.159,0.181,0.105,53,0.25,0.0,0.0,Billing / collections,Billing gap is 15.9% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",Critical
PRJ-2018-030,Portland Mixed-Income Housing - Climate Control,Skanska USA,LOW,Execution Inefficiency,0.237,0.559,0.177,0.206,0.053,80,0.291,0.0,0.0,Billing / collections,Billing gap is 17.7% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",Critical
PRJ-2018-079,Baltimore Colocation Facility - HVAC,Turner Construction,LOW,Low Risk / No Clear Driver,0.248,0.525,0.153,0.172,0.051,54,0.233,0.0,0.0,Billing / collections,Billing gap is 15.3% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",Critical
PRJ-2020-193,Boston Middle School - HVAC Systems,JE Dunn,LOW,Underbilling / Financial Loss,0.249,0.735,0.232,0.294,0.045,61,0.577,0.0,0.105,Billing / collections,Billing gap is 23.2% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",Critical
PRJ-2018-016,Houston Surgery Center - Climate Control,JE Dunn,LOW,"Execution Inefficiency, Coordination Issues",0.255,0.583,0.179,0.21,0.059,94,0.285,0.0,0.031,Billing / collections,Billing gap is 17.9% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",Critical
PRJ-2021-259,Atlanta Colocation Facility - HVAC,Mortenson,LOW,Low Risk / No Clear Driver,0.263,0.633,0.137,0.15,0.053,60,0.356,0.0,0.101,Unrecovered change orders,Rejected COs are 5.3% of original contract,Require tighter approval before extra work proceeds,Critical
PRJ-2022-355,Raleigh Apartment Complex - MEP,Turner Construction,LOW,Execution Inefficiency,0.264,0.62,0.141,0.156,0.038,70,0.379,0.0,0.104,Unrecovered change orders,Rejected COs are 3.8% of original contract,Require tighter approval before extra work proceeds,Critical
PRJ-2018-032,Sacramento Office Park - Core & Shell MEP,DPR Construction,LOW,Coordination Issues,0.264,0.518,0.153,0.171,0.08,100,0.197,0.0,0.0,Billing / collections,Billing gap is 15.3% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",Critical
PRJ-2024-002,Riverside Office Tower - Core & Shell MEP,DPR Construction,LOW,Coordination Issues,0.264,0.523,0.178,0.209,0.079,82,0.223,0.0,0.0,Billing / collections,Billing gap is 17.8% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",Critical
PRJ-2021-289,Pittsburgh Data Center - Precision Cooling Systems,DPR Construction,LOW,Execution Inefficiency,0.278,0.667,0.197,0.238,0.007,79,0.465,0.0,0.102,Billing / collections,Billing gap is 19.7% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",Critical
PRJ-2024-004,Summit Data Center - Phase 2 Expansion,DPR Construction,LOW,Low Risk / No Clear Driver,0.286,0.531,0.151,0.168,0.074,51,0.187,0.0,0.053,Billing / collections,Billing gap is 15.1% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",Critical
PRJ-2020-212,Oklahoma City Corporate Campus - HVAC Systems,JE Dunn,LOW,Coordination Issues,0.304,0.494,0.189,0.225,0.057,71,0.217,0.0,0.0,Billing / collections,Billing gap is 18.9% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",Critical
PRJ-2022-345,Indianapolis Apartment Complex - MEP,Turner Construction,LOW,Coordination Issues,0.317,0.553,0.187,0.221,0.06,82,0.25,0.0,0.087,Billing / collections,Billing gap is 18.7% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",Critical
PRJ-2018-071,Atlanta Regional Medical Center - HVAC Upgrade,Mortenson,LOW,Coordination Issues,0.328,0.469,0.169,0.195,0.032,91,0.142,0.0,0.0,Billing / collections,Billing gap is 16.9% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",Critical
PRJ-2020-239,Nashville Edge Data Center - Thermal Management,JE Dunn,LOW,Coordination Issues,0.33,0.494,0.163,0.185,0.085,67,0.163,0.0,0.041,Billing / collections,Billing gap is 16.3% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",Critical
PRJ-2020-202,Salt Lake City Corporate Campus - HVAC Systems,DPR Construction,LOW,Coordination Issues,0.332,0.613,0.198,0.239,0.061,100,0.315,0.0,0.086,Billing / collections,Billing gap is 19.8% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",Critical
PRJ-2019-128,Kansas City High School - New Construction,JE Dunn,HIGH,Underbilling / Financial Loss,-0.39,1.1,0.046,0.041,0.017,37,1.365,0.604,0.017,Labor execution,Labor burn ratio is 1.36x budget,"Review crew productivity, OT, and field supervision",High
PRJ-2023-383,Pittsburgh High School - New Construction,Mortenson,HIGH,Underbilling / Financial Loss,-0.313,1.097,0.06,0.057,0.0,32,1.342,0.701,0.027,Labor execution,Labor burn ratio is 1.34x budget,"Review crew productivity, OT, and field supervision",High
PRJ-2021-283,Richmond High School - New Construction,Skanska USA,HIGH,Underbilling / Financial Loss,-0.216,1.083,0.093,0.095,0.0,45,1.28,0.675,0.066,Labor execution,Labor burn ratio is 1.28x budget,"Review crew productivity, OT, and field supervision",High
PRJ-2020-185,Baltimore Apartment Complex - MEP,DPR Construction,HIGH,Underbilling / Financial Loss,-0.202,0.928,0.053,0.05,0.036,49,1.044,0.193,0.0,Unrecovered change orders,Rejected COs are 3.6% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2019-103,Kansas City Middle School - HVAC Systems,Mortenson,HIGH,Underbilling / Financial Loss,-0.188,0.947,0.124,0.134,0.009,83,1.078,0.243,0.0,Scope / estimating,Approved COs are 13.4% of original contract,"Strengthen bid review, scope coverage, and preconstruction",High
PRJ-2020-205,Atlanta Apartment Complex - MEP,Turner Construction,HIGH,Underbilling / Financial Loss,-0.168,0.916,0.078,0.078,0.028,84,1.029,0.093,0.0,Coordination / RFIs,Project has 84 RFIs,"Escalate drawing review, RFI aging, and PM coordination",High
PRJ-2018-050,Boston Senior Living - HVAC Upgrade,Skanska USA,HIGH,Underbilling / Financial Loss,-0.162,1.005,0.09,0.093,0.021,31,1.125,0.305,0.062,Labor execution,Labor burn ratio is 1.12x budget,"Review crew productivity, OT, and field supervision",High
PRJ-2020-225,Salt Lake City Residential Tower - HVAC Systems,JE Dunn,HIGH,Underbilling / Financial Loss,-0.135,0.947,0.109,0.115,0.024,83,1.039,0.142,0.025,Scope / estimating,Approved COs are 11.5% of original contract,"Strengthen bid review, scope coverage, and preconstruction",High
PRJ-2022-348,Nashville High School - New Construction,Mortenson,HIGH,Underbilling / Financial Loss,-0.13,0.874,0.06,0.057,0.002,59,0.892,0.069,0.041,Coordination / RFIs,Project has 59 RFIs,"Escalate drawing review, RFI aging, and PM coordination",High
PRJ-2018-045,Cincinnati Apartment Complex - MEP,Skanska USA,HIGH,Underbilling / Financial Loss,-0.128,0.876,0.087,0.088,0.031,36,0.906,0.046,0.008,Unrecovered change orders,Rejected COs are 3.1% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2022-343,Boston Middle School - HVAC Systems,Skanska USA,MEDIUM,Underbilling / Financial Loss,-0.119,0.823,0.077,0.076,0.011,53,0.854,0.013,0.0,Coordination / RFIs,Project has 53 RFIs,"Escalate drawing review, RFI aging, and PM coordination",High
PRJ-2019-132,San Antonio Corporate Campus - HVAC Systems,Turner Construction,MEDIUM,"Underbilling / Financial Loss, Execution Inefficiency",-0.112,0.867,0.066,0.064,0.01,57,0.843,0.018,0.049,Coordination / RFIs,Project has 57 RFIs,"Escalate drawing review, RFI aging, and PM coordination",High
PRJ-2018-013,Indianapolis Unified School District - HVAC Modernization,DPR Construction,HIGH,Underbilling / Financial Loss,-0.089,0.862,0.071,0.07,0.078,39,0.878,0.061,0.005,Unrecovered change orders,Rejected COs are 7.8% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2020-213,Richmond Middle School - HVAC Systems,Mortenson,MEDIUM,Underbilling / Financial Loss,-0.085,0.781,0.069,0.067,0.0,52,0.796,0.0,0.0,Coordination / RFIs,Project has 52 RFIs,"Escalate drawing review, RFI aging, and PM coordination",High
PRJ-2018-039,Albuquerque Data Center - Precision Cooling Systems,Skanska USA,HIGH,Underbilling / Financial Loss,-0.074,0.772,0.025,0.018,0.027,51,0.703,0.0,0.016,Coordination / RFIs,Project has 51 RFIs,"Escalate drawing review, RFI aging, and PM coordination",High
PRJ-2019-118,Portland Unified School District - HVAC Modernization,JE Dunn,HIGH,Underbilling / Financial Loss,-0.04,0.822,0.121,0.129,0.02,54,0.841,0.0,0.0,Scope / estimating,Approved COs are 12.9% of original contract,"Strengthen bid review, scope coverage, and preconstruction",High
PRJ-2021-295,Sacramento Apartment Complex - MEP,Mortenson,MEDIUM,Underbilling / Financial Loss,-0.03,0.845,0.114,0.121,0.014,96,0.866,0.0,0.0,Scope / estimating,Approved COs are 12.1% of original contract,"Strengthen bid review, scope coverage, and preconstruction",High
PRJ-2020-165,Salt Lake City Senior Living - HVAC Upgrade,JE Dunn,MEDIUM,Underbilling / Financial Loss,0.025,0.873,0.186,0.221,0.0,93,0.881,0.0,0.033,Billing / collections,Billing gap is 18.6% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",High
PRJ-2019-088,Oklahoma City Elementary Campus - Climate Systems,JE Dunn,MEDIUM,"Execution Inefficiency, Change Order Failure",0.029,0.664,0.073,0.071,0.104,86,0.459,0.0,0.0,Unrecovered change orders,Rejected COs are 10.4% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2020-182,Houston Office Park - Core & Shell MEP,JE Dunn,MEDIUM,Underbilling / Financial Loss,0.032,0.757,0.121,0.131,0.089,39,0.583,0.0,0.068,Unrecovered change orders,Rejected COs are 8.9% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2019-157,Portland Office Park - Core & Shell MEP,Mortenson,MEDIUM,Underbilling / Financial Loss,0.052,0.81,0.142,0.157,0.035,70,0.706,0.0,0.086,Unrecovered change orders,Rejected COs are 3.5% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2018-074,Chicago Edge Data Center - Thermal Management,JE Dunn,MEDIUM,Underbilling / Financial Loss,0.059,0.695,0.096,0.098,0.047,54,0.578,0.0,0.0,Unrecovered change orders,Rejected COs are 4.7% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2019-095,Phoenix Senior Living - HVAC Upgrade,DPR Construction,MEDIUM,Execution Inefficiency,0.06,0.791,0.135,0.149,0.074,88,0.718,0.0,0.026,Unrecovered change orders,Rejected COs are 7.4% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2020-222,Oklahoma City Corporate Campus - HVAC Systems,Skanska USA,MEDIUM,Execution Inefficiency,0.061,0.797,0.076,0.075,0.068,96,0.722,0.0,0.095,Unrecovered change orders,Rejected COs are 6.8% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2019-090,Tampa Senior Living - HVAC Upgrade,DPR Construction,MEDIUM,Underbilling / Financial Loss,0.065,0.832,0.144,0.159,0.025,54,0.758,0.0,0.11,Scope / estimating,Approved COs are 15.9% of original contract,"Strengthen bid review, scope coverage, and preconstruction",High
PRJ-2018-012,Pittsburgh Business Center - MEP Systems,DPR Construction,LOW,Underbilling / Financial Loss,0.07,0.703,0.065,0.061,0.044,58,0.4,0.0,0.039,Unrecovered change orders,Rejected COs are 4.4% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2021-305,Albuquerque Senior Living - HVAC Upgrade,Skanska USA,MEDIUM,Underbilling / Financial Loss,0.073,0.806,0.167,0.192,0.015,68,0.765,0.0,0.048,Billing / collections,Billing gap is 16.7% of adjusted contract,"Accelerate billing, closeout, and collections follow-up",High
PRJ-2023-390,Louisville Apartment Complex - MEP,JE Dunn,LOW,Execution Inefficiency,0.074,0.686,0.12,0.129,0.05,53,0.592,0.0,0.0,Unrecovered change orders,Rejected COs are 5.0% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2020-208,Louisville High School - New Construction,Turner Construction,MEDIUM,Underbilling / Financial Loss,0.078,0.621,0.089,0.09,0.069,85,0.438,0.0,0.0,Unrecovered change orders,Rejected COs are 6.9% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2020-240,Atlanta Residential Tower - HVAC Systems,JE Dunn,MEDIUM,Underbilling / Financial Loss,0.093,0.748,0.135,0.148,0.067,92,0.641,0.0,0.03,Unrecovered change orders,Rejected COs are 6.7% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2019-084,Sacramento Data Center - Precision Cooling Systems,Turner Construction,MEDIUM,Underbilling / Financial Loss,0.095,0.75,0.116,0.124,0.073,81,0.638,0.0,0.064,Unrecovered change orders,Rejected COs are 7.3% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2021-285,Atlanta Mixed-Income Housing - Climate Control,Mortenson,MEDIUM,Underbilling / Financial Loss,0.096,0.733,0.104,0.109,0.073,53,0.585,0.0,0.049,Unrecovered change orders,Rejected COs are 7.3% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2020-218,Portland Middle School - HVAC Systems,JE Dunn,LOW,Underbilling / Financial Loss,0.097,0.733,0.089,0.091,0.04,65,0.579,0.0,0.062,Unrecovered change orders,Rejected COs are 4.0% of original contract,Require tighter approval before extra work proceeds,High
PRJ-2024-003,Greenfield Elementary School - New Construction,DPR Construction,HIGH,Underbilling / Financial Loss,0.102,1.15,0.062,0.058,0.067,45,1.049,0.071,0.539,Unrecovered change orders,Rejected COs are 6.7% of original contract,Require tighter approval before extra work proceeds,High
